zone_id,name,geometry
5011,F12 - 45,"POLYGON ((-111.940002 33.417000, -111.939003 33.417000, -111.939003 33.416000, -111.940002 33.416000, -111.940002 33.417000))"
5013,F14 - 91,"POLYGON ((-111.940002 33.415001, -111.939003 33.415001, -111.939003 33.414001, -111.940002 33.414001, -111.940002 33.415001))"
5014,F15 - 58,"POLYGON ((-111.940002 33.414001, -111.939003 33.414001, -111.939003 33.413002, -111.940002 33.413002, -111.940002 33.414001))"
5015,F16 - 177,"POLYGON ((-111.940002 33.413002, -111.939003 33.413002, -111.939003 33.412003, -111.940002 33.412003, -111.940002 33.413002))"
5016,F17 - 35,"POLYGON ((-111.940002 33.412003, -111.939003 33.412003, -111.939003 33.411003, -111.940002 33.411003, -111.940002 33.412003))"
5017,F18 - 182,"POLYGON ((-111.940002 33.411003, -111.939003 33.411003, -111.939003 33.410000, -111.940002 33.410000, -111.940002 33.411003))"
6002,G3 - 169,"POLYGON ((-111.939003 33.426003, -111.938004 33.426003, -111.938004 33.425003, -111.939003 33.425003, -111.939003 33.426003))"
6004,G5 - 82,"POLYGON ((-111.939003 33.424000, -111.938004 33.424000, -111.938004 33.423000, -111.939003 33.423000, -111.939003 33.424000))"
6006,G7 - 256,"POLYGON ((-111.939003 33.422001, -111.938004 33.422001, -111.938004 33.421001, -111.939003 33.421001, -111.939003 33.422001))"
6007,G8 - 170,"POLYGON ((-111.939003 33.421001, -111.938004 33.421001, -111.938004 33.420002, -111.939003 33.420002, -111.939003 33.421001))"
6008,G9 - 81,"POLYGON ((-111.939003 33.420002, -111.938004 33.420002, -111.938004 33.419003, -111.939003 33.419003, -111.939003 33.420002))"
6013,G14 - 87,"POLYGON ((-111.939003 33.415001, -111.938004 33.415001, -111.938004 33.414001, -111.939003 33.414001, -111.939003 33.415001))"
7003,H4 - 224,"POLYGON ((-111.938004 33.425003, -111.937004 33.425003, -111.937004 33.424000, -111.938004 33.424000, -111.938004 33.425003))"
7011,H12 - 118,"POLYGON ((-111.938004 33.417000, -111.937004 33.417000, -111.937004 33.416000, -111.938004 33.416000, -111.938004 33.417000))"
7013,H14 - 46,"POLYGON ((-111.938004 33.415001, -111.937004 33.415001, -111.937004 33.414001, -111.938004 33.414001, -111.938004 33.415001))"
7014,H15 - 72,"POLYGON ((-111.938004 33.414001, -111.937004 33.414001, -111.937004 33.413002, -111.938004 33.413002, -111.938004 33.414001))"
7015,H16 - 179,"POLYGON ((-111.938004 33.413002, -111.937004 33.413002, -111.937004 33.412003, -111.938004 33.412003, -111.938004 33.413002))"
7016,H17 - 36,"POLYGON ((-111.938004 33.412003, -111.937004 33.412003, -111.937004 33.411003, -111.938004 33.411003, -111.938004 33.412003))"
8002,I3 - 66,"POLYGON ((-111.937004 33.426003, -111.936005 33.426003, -111.936005 33.425003, -111.937004 33.425003, -111.937004 33.426003))"
8003,I4 - 13,"POLYGON ((-111.937004 33.425003, -111.936005 33.425003, -111.936005 33.424000, -111.937004 33.424000, -111.937004 33.425003))"
8004,I5 - 79,"POLYGON ((-111.937004 33.424000, -111.936005 33.424000, -111.936005 33.423000, -111.937004 33.423000, -111.937004 33.424000))"
8006,I7 - 131,"POLYGON ((-111.937004 33.422001, -111.936005 33.422001, -111.936005 33.421001, -111.937004 33.421001, -111.937004 33.422001))"
8008,I9 - 168,"POLYGON ((-111.937004 33.420002, -111.936005 33.420002, -111.936005 33.419003, -111.937004 33.419003, -111.937004 33.420002))"
8010,I11 - 208,"POLYGON ((-111.937004 33.418003, -111.936005 33.418003, -111.936005 33.417000, -111.937004 33.417000, -111.937004 33.418003))"
8011,I12 - 209,"POLYGON ((-111.937004 33.417000, -111.936005 33.417000, -111.936005 33.416000, -111.937004 33.416000, -111.937004 33.417000))"
8013,I14 - 249,"POLYGON ((-111.937004 33.415001, -111.936005 33.415001, -111.936005 33.414001, -111.937004 33.414001, -111.937004 33.415001))"
8015,I16 - 178,"POLYGON ((-111.937004 33.413002, -111.936005 33.413002, -111.936005 33.412003, -111.937004 33.412003, -111.937004 33.413002))"
8016,I17 - 37,"POLYGON ((-111.937004 33.412003, -111.936005 33.412003, -111.936005 33.411003, -111.937004 33.411003, -111.937004 33.412003))"
8018,I19 - 19,"POLYGON ((-111.937004 33.410000, -111.936005 33.410000, -111.936005 33.409000, -111.937004 33.409000, -111.937004 33.410000))"
9017,J18 - 171,"POLYGON ((-111.936005 33.411003, -111.935005 33.411003, -111.935005 33.410000, -111.936005 33.410000, -111.936005 33.411003))"
9018,J19 - 174,"POLYGON ((-111.936005 33.410000, -111.935005 33.410000, -111.935005 33.409000, -111.936005 33.409000, -111.936005 33.410000))"
10002,K3 - 67,"POLYGON ((-111.935005 33.426003, -111.934006 33.426003, -111.934006 33.425003, -111.935005 33.425003, -111.935005 33.426003))"
10003,K4 - 86,"POLYGON ((-111.935005 33.425003, -111.934006 33.425003, -111.934006 33.424000, -111.935005 33.424000, -111.935005 33.425003))"
10004,K5 - 83,"POLYGON ((-111.935005 33.424000, -111.934006 33.424000, -111.934006 33.423000, -111.935005 33.423000, -111.935005 33.424000))"
10006,K7 - 64,"POLYGON ((-111.935005 33.422001, -111.934006 33.422001, -111.934006 33.421001, -111.935005 33.421001, -111.935005 33.422001))"
10011,K12 - 205,"POLYGON ((-111.935005 33.417000, -111.934006 33.417000, -111.934006 33.416000, -111.935005 33.416000, -111.935005 33.417000))"
10013,K14 - 255,"POLYGON ((-111.935005 33.415001, -111.934006 33.415001, -111.934006 33.414001, -111.935005 33.414001, -111.935005 33.415001))"
10014,K15 - 73,"POLYGON ((-111.935005 33.414001, -111.934006 33.414001, -111.934006 33.413002, -111.935005 33.413002, -111.935005 33.414001))"
10016,K17 - 38,"POLYGON ((-111.935005 33.412003, -111.934006 33.412003, -111.934006 33.411003, -111.935005 33.411003, -111.935005 33.412003))"
10017,K18 - 214,"POLYGON ((-111.935005 33.411003, -111.934006 33.411003, -111.934006 33.410000, -111.935005 33.410000, -111.935005 33.411003))"
10018,K19 - 172,"POLYGON ((-111.935005 33.410000, -111.934006 33.410000, -111.934006 33.409000, -111.935005 33.409000, -111.935005 33.410000))"
11009,L10 - 85,"POLYGON ((-111.934006 33.419003, -111.933006 33.419003, -111.933006 33.418003, -111.934006 33.418003, -111.934006 33.419003))"
11011,L12 - 84,"POLYGON ((-111.934006 33.417000, -111.933006 33.417000, -111.933006 33.416000, -111.934006 33.416000, -111.934006 33.417000))"
11018,L19 - 212,"POLYGON ((-111.934006 33.410000, -111.933006 33.410000, -111.933006 33.409000, -111.934006 33.409000, -111.934006 33.410000))"
12013,M14 - 241,"POLYGON ((-111.933006 33.415001, -111.932007 33.415001, -111.932007 33.414001, -111.933006 33.414001, -111.933006 33.415001))"
12014,M15 - 74,"POLYGON ((-111.933006 33.414001, -111.932007 33.414001, -111.932007 33.413002, -111.933006 33.413002, -111.933006 33.414001))"
13009,N10 - 191,"POLYGON ((-111.932007 33.419003, -111.931007 33.419003, -111.931007 33.418003, -111.932007 33.418003, -111.932007 33.419003))"
13010,N11 - 190,"POLYGON ((-111.932007 33.418003, -111.931007 33.418003, -111.931007 33.417000, -111.932007 33.417000, -111.932007 33.418003))"
14004,O5 - 9,"POLYGON ((-111.931007 33.424000, -111.930008 33.424000, -111.930008 33.423000, -111.931007 33.423000, -111.931007 33.424000))"
14006,O7 - 204,"POLYGON ((-111.931007 33.422001, -111.930008 33.422001, -111.930008 33.421001, -111.931007 33.421001, -111.931007 33.422001))"
14013,O14 - 48,"POLYGON ((-111.931007 33.415001, -111.930008 33.415001, -111.930008 33.414001, -111.931007 33.414001, -111.931007 33.415001))"
14014,O15 - 71,"POLYGON ((-111.931007 33.414001, -111.930008 33.414001, -111.930008 33.413002, -111.931007 33.413002, -111.931007 33.414001))"
14015,O16 - 39,"POLYGON ((-111.931007 33.413002, -111.930008 33.413002, -111.930008 33.412003, -111.931007 33.412003, -111.931007 33.413002))"
14016,O17 - 112,"POLYGON ((-111.931007 33.412003, -111.930008 33.412003, -111.930008 33.411003, -111.931007 33.411003, -111.931007 33.412003))"
14017,O18 - 20,"POLYGON ((-111.931007 33.411003, -111.930008 33.411003, -111.930008 33.410000, -111.931007 33.410000, -111.931007 33.411003))"
14018,O19 - 68,"POLYGON ((-111.931007 33.410000, -111.930008 33.410000, -111.930008 33.409000, -111.931007 33.409000, -111.931007 33.410000))"
15003,P4 - 226,"POLYGON ((-111.930008 33.425003, -111.929008 33.425003, -111.929008 33.424000, -111.930008 33.424000, -111.930008 33.425003))"
15011,P12 - 50,"POLYGON ((-111.930008 33.417000, -111.929008 33.417000, -111.929008 33.416000, -111.930008 33.416000, -111.930008 33.417000))"
15013,P14 - 188,"POLYGON ((-111.930008 33.415001, -111.929008 33.415001, -111.929008 33.414001, -111.930008 33.414001, -111.930008 33.415001))"
16005,Q6 - 65,"POLYGON ((-111.929008 33.423000, -111.928009 33.423000, -111.928009 33.422001, -111.929008 33.422001, -111.929008 33.423000))"
16007,Q8 - 70,"POLYGON ((-111.929008 33.421001, -111.928009 33.421001, -111.928009 33.420002, -111.929008 33.420002, -111.929008 33.421001))"
16009,Q10 - 207,"POLYGON ((-111.929008 33.419003, -111.928009 33.419003, -111.928009 33.418003, -111.929008 33.418003, -111.929008 33.419003))"
16013,Q14 - 218,"POLYGON ((-111.929008 33.415001, -111.928009 33.415001, -111.928009 33.414001, -111.929008 33.414001, -111.929008 33.415001))"
