zone_id,name,geometry
2013,C14 - 382,"POLYGON ((-111.943008 33.415001, -111.942009 33.415001, -111.942009 33.414001, -111.943008 33.414001, -111.943008 33.415001))"
2014,C15 - 376,"POLYGON ((-111.943008 33.414001, -111.942009 33.414001, -111.942009 33.413002, -111.943008 33.413002, -111.943008 33.414001))"
3000,D1 - 5580,"POLYGON ((-111.942009 33.428001, -111.941002 33.428001, -111.941002 33.427002, -111.942009 33.427002, -111.942009 33.428001))"
3001,D2 - 5542,"POLYGON ((-111.942009 33.427002, -111.941002 33.427002, -111.941002 33.426003, -111.942009 33.426003, -111.942009 33.427002))"
3002,D3 - 5508,"POLYGON ((-111.942009 33.426003, -111.941002 33.426003, -111.941002 33.425003, -111.942009 33.425003, -111.942009 33.426003))"
3003,D4 - 76,"POLYGON ((-111.942009 33.425003, -111.941002 33.425003, -111.941002 33.424000, -111.942009 33.424000, -111.942009 33.425003))"
3004,D5 - 7420,"POLYGON ((-111.942009 33.424000, -111.941002 33.424000, -111.941002 33.423000, -111.942009 33.423000, -111.942009 33.424000))"
3006,D7 - 182,"POLYGON ((-111.942009 33.422001, -111.941002 33.422001, -111.941002 33.421001, -111.942009 33.421001, -111.942009 33.422001))"
3007,D8 - 201,"POLYGON ((-111.942009 33.421001, -111.941002 33.421001, -111.941002 33.420002, -111.942009 33.420002, -111.942009 33.421001))"
3008,D9 - 1190,"POLYGON ((-111.942009 33.420002, -111.941002 33.420002, -111.941002 33.419003, -111.942009 33.419003, -111.942009 33.420002))"
3009,D10 - 9320,"POLYGON ((-111.942009 33.419003, -111.941002 33.419003, -111.941002 33.418003, -111.942009 33.418003, -111.942009 33.419003))"
3010,D11 - 3082,"POLYGON ((-111.942009 33.418003, -111.941002 33.418003, -111.941002 33.417000, -111.942009 33.417000, -111.942009 33.418003))"
3011,D12 - 2720,"POLYGON ((-111.942009 33.417000, -111.941002 33.417000, -111.941002 33.416000, -111.942009 33.416000, -111.942009 33.417000))"
3012,D13 - 9407,"POLYGON ((-111.942009 33.416000, -111.941002 33.416000, -111.941002 33.415001, -111.942009 33.415001, -111.942009 33.416000))"
3013,D14 - 4548,"POLYGON ((-111.942009 33.415001, -111.941002 33.415001, -111.941002 33.414001, -111.942009 33.414001, -111.942009 33.415001))"
3014,D15 - 1380,"POLYGON ((-111.942009 33.414001, -111.941002 33.414001, -111.941002 33.413002, -111.942009 33.413002, -111.942009 33.414001))"
4000,E1 - 5159,"POLYGON ((-111.941002 33.428001, -111.940002 33.428001, -111.940002 33.427002, -111.941002 33.427002, -111.941002 33.428001))"
4001,E2 - 5169,"POLYGON ((-111.941002 33.427002, -111.940002 33.427002, -111.940002 33.426003, -111.941002 33.426003, -111.941002 33.427002))"
4002,E3 - 6754,"POLYGON ((-111.941002 33.426003, -111.940002 33.426003, -111.940002 33.425003, -111.941002 33.425003, -111.941002 33.426003))"
4003,E4 - 79,"POLYGON ((-111.941002 33.425003, -111.940002 33.425003, -111.940002 33.424000, -111.941002 33.424000, -111.941002 33.425003))"
4004,E5 - 7438,"POLYGON ((-111.941002 33.424000, -111.940002 33.424000, -111.940002 33.423000, -111.941002 33.423000, -111.941002 33.424000))"
4005,E6 - 12020,"POLYGON ((-111.941002 33.423000, -111.940002 33.423000, -111.940002 33.422001, -111.941002 33.422001, -111.941002 33.423000))"
4006,E7 - 1086,"POLYGON ((-111.941002 33.422001, -111.940002 33.422001, -111.940002 33.421001, -111.941002 33.421001, -111.941002 33.422001))"
4007,E8 - 1146,"POLYGON ((-111.941002 33.421001, -111.940002 33.421001, -111.940002 33.420002, -111.941002 33.420002, -111.941002 33.421001))"
4008,E9 - 1173,"POLYGON ((-111.941002 33.420002, -111.940002 33.420002, -111.940002 33.419003, -111.941002 33.419003, -111.941002 33.420002))"
